symbol,entry_date,exit_date,direction,entry_price,exit_price,pnl,pnl_pct,holding_days,exit_reason
0001.HK,2021-11-04 00:00:00+08:00,2021-11-18 00:00:00+08:00,Long,41.639625549316406,42.00135803222656,134.27367553710934,0.26872174794591724,10,Time Exit
0001.HK,2021-11-26 00:00:00+08:00,2021-11-30 00:00:00+08:00,Long,41.43866729736328,40.39365642074538,-1560.1333137649099,-3.121825494818447,2,Stop Loss
0001.HK,2023-09-28 00:00:00+08:00,2023-10-13 00:00:00+08:00,Long,36.56834030151367,36.61320877075195,-238.59832970428465,-0.47730241824394737,10,Time Exit
0001.HK,2025-09-04 00:00:00+08:00,2025-09-18 00:00:00+08:00,Long,49.9643669128418,51.45000076293945,1700.771131928825,3.4039681417272085,10,Time Exit
0003.HK,2021-09-21 00:00:00+08:00,2021-09-29 00:00:00+08:00,Long,9.884982109069824,9.623560893357258,-1622.2579461202117,-3.2446301351694213,5,Stop Loss
0003.HK,2022-02-22 00:00:00+08:00,2022-03-02 00:00:00+08:00,Long,9.803287506103516,9.607221163781325,-1299.9189435299377,-2.60000604083191,6,Stop Loss
0003.HK,2024-11-13 00:00:00+08:00,2024-11-27 00:00:00+08:00,Long,5.7334370613098145,5.573156440767027,-1697.6204381808334,-3.395541641581581,10,Stop Loss
0003.HK,2025-06-18 00:00:00+08:00,2025-07-03 00:00:00+08:00,Long,6.526978492736816,6.585957050323486,151.7958195877075,0.30361194927026214,10,Time Exit
0005.HK,2024-06-14 00:00:00+08:00,2024-06-28 00:00:00+08:00,Long,62.136322021484375,63.20046615600586,555.8262667236328,1.1125959501650964,10,Time Exit
0005.HK,2024-07-08 00:00:00+08:00,2024-07-22 00:00:00+08:00,Long,62.090065002441406,62.090065002441406,-299.895013961792,-0.6,10,Time Exit
0005.HK,2025-06-19 00:00:00+08:00,2025-07-04 00:00:00+08:00,Long,89.8507308959961,93.39746856689453,1637.0308298611146,3.276879357959952,10,Time Exit
0006.HK,2021-07-08 00:00:00+08:00,2021-07-22 00:00:00+08:00,Long,37.03225326538086,38.356231689453125,1675.1538609840627,3.350740509760026,10,Time Exit
